gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Agbl3,0.789524284,0.403448374,0.367963121,1.096436984,0.272887586,0.499962487
Agbl4,59.78390989,0.03993021,0.067532903,0.591270455,0.554339222,0.718848541
Agbl5,0.983994882,0.590012501,0.322300751,1.830627138,0.067156215,0.286527965
Ager,0.002052348,1.717878778,2.979467504,0.576572416,0.564228337,NA
Agfg1,3.969610511,0.327132257,0.21589491,1.515238399,0.129712042,0.362958867
Agfg2,4.222713223,0.233560552,0.295715094,0.789816134,0.429635155,0.627245762
Aggf1,2.14636766,0.169190666,0.224133532,0.754865479,0.450329701,0.643249006
Agk,4.657474175,-0.055291777,0.158586203,-0.348654397,0.727348785,0.840494786
Agl,2.702834062,0.022283154,0.250782827,0.088854385,0.929197635,0.962701473
Agmat,0.060184085,1.221198313,1.308316621,0.933411907,0.350607335,NA
Agmo,1.086772432,0.746978291,0.321897784,2.320544989,0.020311414,0.197931693
Ago1,2.824724284,-0.202668711,0.195046562,-1.039078608,0.298768179,0.521464363
Ago2,5.127890899,0.240641399,0.167989088,1.432482326,0.152005833,0.384842032
Ago3,18.45017763,0.012930876,0.129539832,0.099821618,0.920485945,0.958689815
Ago4,5.764437321,0.315810821,0.226067055,1.396978525,0.162420029,0.39513946
Agpat1,0.640037875,0.885923927,0.430175809,2.059446183,0.039451515,0.24616081
Agpat2,0.02578379,1.635708855,2.357527195,0.69382396,0.487792615,NA
Agpat3,4.645911383,0.183394624,0.219721237,0.834669541,0.403903796,0.606226545
Agpat4,3.00762514,-0.052330764,0.183798516,-0.284718098,0.775860124,0.871323781
Agpat5,3.682820484,0.254004995,0.185315833,1.370659975,0.170480977,0.402336071
Agpat9,0,NA,NA,NA,NA,NA
Agps,4.457884685,-0.015453919,0.164562825,-0.09390893,0.9251815,0.960781385
Agr2,0.001386842,1.91739685,2.9796326,0.643501098,0.519899002,NA
Agr3,0.010859456,1.791722248,2.585906985,0.69287962,0.4883851,NA
Agrn,4.8683586,-0.081579539,0.178654042,-0.456634164,0.647934019,0.786398938
Agrp,2.227356995,1.149832279,0.318081419,3.614899236,0.000300464,0.058537187
Agt,0.4317991,0.246203613,0.664884132,0.370295516,0.711162315,0.828344874
Agtpbp1,7.819494925,0.102971867,0.120262185,0.856228142,0.391871599,0.597394135
Agtr1a,0.340515353,1.078836089,0.554763774,1.944676525,0.051813923,0.26472627
Agtr1b,0.078438715,1.805392099,2.047587332,0.881716775,0.377929987,NA
Agtr2,0.03482166,1.514692321,1.900857968,0.796846659,0.425540093,NA
Agtrap,0.40555432,0.524247763,0.444715975,1.178837264,0.238462983,0.466576629
Agxt,0,NA,NA,NA,NA,NA
Agxt2,0.027795603,1.783206024,2.842683159,0.627296791,0.530464706,NA
Ahctf1,3.484834363,0.167447894,0.16985271,0.985841759,0.32421077,0.541672819
Ahcy,0.066590818,1.567649704,1.555300649,1.007939979,0.313483277,NA
Ahcyl1,7.889065576,-0.005078394,0.145402097,-0.034926553,0.972138308,0.984690448
Ahcyl2,20.53241633,0.017792535,0.126514193,0.140636671,0.888156977,0.940909514
Ahdc1,4.338598745,-0.00560115,0.169350877,-0.033074231,0.973615392,0.985182029
Ahi1,62.98644676,0.10748687,0.08186853,1.312920483,0.189209744,0.420426552
Ahnak,0.697574859,0.334692465,0.458575204,0.72985295,0.465480075,0.653812473
Ahnak2,0.200182186,1.091296495,0.916837116,1.190283941,0.233934811,0.462703187
Ahr,0.741046216,0.472419124,0.359565556,1.313860897,0.18889302,0.420235743
Ahrr,0.856934181,1.30024101,2.461607128,0.528208176,0.597354856,0.750727423
Ahsa1,1.002365553,0.228367913,0.467466668,0.488522345,0.625179902,0.770542368
Ahsa2,1.590068728,0.321497075,0.348294762,0.923060321,0.355975771,0.568742035
Ahsg,0,NA,NA,NA,NA,NA
Aicda,0,NA,NA,NA,NA,NA
Aida,1.495766274,0.061484254,0.265945142,0.231191493,0.817166039,0.895226143
Aif1,0.233350422,0.598137483,0.712120984,0.839938011,0.400943144,0.604180049
Aif1l,0.042719499,2.006403655,2.193274707,0.914798155,0.360297604,NA
Aifm1,3.64043153,0.055508597,0.222103973,0.249921675,0.802647921,0.886976496
Aifm2,0.933307113,0.848816267,0.694876379,1.221535647,0.221883277,0.451605289
Aifm3,5.80754381,-0.113482254,0.133483221,-0.850161191,0.395235475,0.59988552
Aig1,17.49966143,0.008953498,0.132146426,0.067754374,0.945981165,0.971315303
Aim1,0,NA,NA,NA,NA,NA
Aim1l,0,NA,NA,NA,NA,NA
Aim2,0.513509879,0.983219355,0.388034816,2.533843137,0.011281922,0.170279947
Aimp1,1.917052321,0.207828977,0.255585104,0.813149801,0.416132176,0.617028672
Aimp2,0.22487249,0.844067308,0.585303568,1.442101764,0.149273668,0.382068115
Aip,0.423036047,1.468316034,0.596197581,2.462801058,0.013785638,0.180300047
Aipl1,0.043749095,2.16021294,2.683395598,0.805029621,0.420802587,NA
Aire,0,NA,NA,NA,NA,NA
Airn,26.19233798,-0.029767827,0.149575281,-0.199015685,0.842250475,0.911409219
Ajap1,9.995321676,-0.123288378,0.12798769,-0.963283097,0.335405473,0.5510784
Ajuba,0,NA,NA,NA,NA,NA
