gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Actrt1,0,NA,NA,NA,NA,NA
Actrt2,0,NA,NA,NA,NA,NA
Actrt3,0.680371225,1.021616298,0.363194058,2.812866221,0.004910207,0.022761574
Acvr1,90.7353778,-0.203864282,0.077613097,-2.626673724,0.008622397,0.035362921
Acvr1b,27.16940136,-0.217898001,0.11780493,-1.849650946,0.064363875,0.166862934
Acvr1c,4.5613584,0.030712582,0.174941398,0.17555926,0.860640211,0.949124796
Acvr2a,97.52635068,0.089798044,0.060011135,1.496356363,0.134560815,0.289179487
Acvr2b,26.927949,-0.018369052,0.119417657,-0.153821913,0.877750156,0.956343269
Acvrl1,0.284674047,0.178544735,0.797346672,0.223923598,0.822816754,NA
Acy1,3.482416512,-0.247605911,0.234833109,-1.054390975,0.291703952,0.502011003
Acy3,2.06496975,0.736616163,0.327064556,2.252204185,0.024309372,0.079392679
Acyp1,8.901200014,0.574215498,0.120714107,4.756821804,1.96665E-06,3.94954E-05
Acyp2,386.0307195,-0.036681112,0.066752233,-0.549511378,0.582654558,0.782362515
Ada,0.293357203,0.353417914,0.555544945,0.636164396,0.524669276,NA
Adad1,2.098768926,0.221500874,0.294313523,0.752601754,0.451689263,0.670769379
Adad2,0.740632837,0.397270557,0.65067654,0.610549994,0.541497536,0.749405102
Adal,45.17645702,0.136458094,0.095704512,1.42582718,0.153918233,0.319626741
Adam10,118.0133789,0.082903743,0.041053924,2.01938657,0.043447056,0.124370962
Adam11,27.37357636,-0.183315474,0.109419111,-1.675351525,0.093865281,0.221987311
Adam12,48.74018747,-0.164891561,0.13002757,-1.268127681,0.204752358,0.392729526
Adam15,52.14832022,-0.294938906,0.097551185,-3.023427206,0.002499291,0.013456007
Adam17,37.65330704,-0.002577111,0.060211494,-0.042800983,0.96586018,0.988334193
Adam18,3.390857872,0.183855906,0.294727318,0.623816982,0.532747786,0.741655757
Adam19,47.25393266,-0.080837343,0.097174759,-0.831875932,0.405478978,0.626802569
Adam1a,0.191280155,-0.240813826,1.007148002,-0.239104705,0.811024393,NA
Adam1b,0.047290171,0.520675653,2.980758137,0.174678934,0.861331922,NA
Adam2,3.347655413,0.06460452,0.451791142,0.142996428,0.886293002,0.959266847
Adam20,0.050614602,0.425419894,2.981824063,0.142671024,0.886550002,NA
Adam21,5.665930046,0.04846131,0.191886845,0.252551496,0.800614816,0.923127501
Adam22,552.0291989,-0.143964031,0.073511399,-1.958390576,0.0501842,0.138674719
Adam23,571.9474119,-0.208535715,0.062455319,-3.338958429,0.000840931,0.005658028
Adam24,0.136901681,1.19099542,1.39825253,0.851774193,0.394339432,NA
Adam25,0.110094926,0.206009372,1.056802679,0.194936459,0.845442691,NA
Adam26a,0.029879718,0.675520048,2.974787058,0.227081816,0.820360123,NA
Adam26b,0.554547947,0.652283436,0.72238691,0.90295578,0.366549364,0.586663047
Adam28,0.762446803,0.182541453,0.453767876,0.402279364,0.68747844,0.858088474
Adam29,0.651522443,0.640464328,0.498557401,1.284635083,0.198919833,0.384816879
Adam3,0.688954345,0.137063144,0.469522286,0.291920422,0.770347469,0.907924037
Adam30,0.00115315,0.497336606,2.982298994,0.166762825,0.86755667,NA
Adam32,14.04047353,0.083177118,0.105368198,0.7893949,0.429881236,0.650463225
Adam33,8.029628485,-0.186542375,0.232151007,-0.803538947,0.421663295,0.642078199
Adam34,0.873920545,0.868079765,0.323294956,2.685101485,0.007250779,0.030860763
Adam34l,0,NA,NA,NA,NA,NA
Adam39,0.003995551,0.539924745,2.979900894,0.181188826,0.856219365,NA
Adam4,0,NA,NA,NA,NA,NA
Adam5,1.585568114,0.395930957,0.380806594,1.039716653,0.298471561,0.510283449
Adam6a,0,NA,NA,NA,NA,NA
Adam6b,0.001766643,0.196555652,2.981985596,0.065914353,0.947446013,NA
