gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aim2,23.6998319,0.838145966,0.153427053,5.462830362,4.68602E-08,2.98976E-06
Aimp1,57.12643143,0.283604301,0.066230288,4.282093731,1.85143E-05,0.00037961
Aimp2,7.515836668,-0.008897201,0.148269107,-0.060007109,0.952149973,0.980850176
Aip,11.92571418,0.649557148,0.233955637,2.77641162,0.005496258,0.030207577
Aipl1,0.271606978,0.713328031,0.961677317,0.741754036,0.458236374,NA
Aire,0.47177051,-0.229438699,0.703740271,-0.326027525,0.74440353,NA
Airn,635.804157,-0.124826272,0.090978332,-1.372043975,0.170049749,0.367604231
Ajap1,125.6467307,-0.105918885,0.067540199,-1.568234732,0.116826361,0.283092608
Ajm1,7.646352523,-1.147831907,0.187640056,-6.117200837,9.52333E-10,1.09308E-07
Ajuba,2.463106759,-0.353997373,0.546429587,-0.647837126,0.5170903,0.736261571
Ak1,14.15180743,-0.317008832,0.127539752,-2.485568826,0.012934457,0.057589852
AK157302,0.451387297,0.630828749,0.623783118,1.011295002,0.311875258,NA
Ak2,36.82454104,-0.048390886,0.112949048,-0.428431114,0.668337276,0.841243309
Ak3,40.21249099,0.100826401,0.159828075,0.630842866,0.528143272,0.74484681
Ak3l2-ps,0,NA,NA,NA,NA,NA
Ak4,8.949594206,0.047233458,0.186991628,0.252596648,0.800579921,0.912005442
Ak5,381.8033378,-0.070124232,0.061812903,-1.134459452,0.256601873,0.483744089
Ak6,34.73907932,0.247134245,0.094872386,2.604912308,0.009189778,0.044330245
Ak7,49.44306995,0.015275659,0.168824882,0.090482271,0.927903982,0.970966412
Ak8,9.250315421,-0.250965537,0.153937228,-1.630310876,0.10303581,0.259303762
Ak9,27.37588564,0.127483708,0.249534402,0.510886302,0.609430673,0.803509929
Akain1,48.94660431,0.006945133,0.106874127,0.064984234,0.948186554,0.978833929
Akap1,36.97065979,-0.171267712,0.091878791,-1.864061446,0.062313076,0.182286497
Akap10,238.6767288,0.069713364,0.03739138,1.864423383,0.062262272,0.182161208
Akap11,194.7087806,-0.0333939,0.036412077,-0.917110545,0.359084716,0.596610697
Akap12,144.6076143,-0.065216266,0.091299005,-0.714315191,0.475032301,0.701688727
Akap13,273.3862483,-0.004191507,0.093881411,-0.044646831,0.964388814,0.986103549
Akap14,8.726120882,0.622189416,0.283509651,2.194596949,0.028192523,0.102359965
Akap17b,152.691436,-0.192345201,0.050050335,-3.843035247,0.000121522,0.001629879
Akap3,0.543169487,-0.540498071,0.549832786,-0.983022629,0.325596301,0.561841141
Akap4,0.112166622,-0.062367442,2.981865455,-0.020915579,0.983312999,NA
Akap5,15.95985009,0.1311022,0.170378679,0.769475388,0.44161115,0.672081424
Akap6,1425.573157,-0.247810139,0.064181281,-3.861096825,0.000112879,0.001541107
Akap7,182.3662744,-0.056599767,0.066684888,-0.848764525,0.396012333,0.632076565
