gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Adipoq,0.021414561,0.59201449,2.982501911,0.19849593,0.842657069,NA
Adipor1,8.049716455,0.296440602,0.173113918,1.712401899,0.086822629,0.250787865
Adipor2,9.714643168,0.38770304,0.122550528,3.163617866,0.001558212,0.015135261
Adk,31.53677109,-0.093654876,0.080785151,-1.159308051,0.246330641,0.483264617
Adm,0.185750127,0.747806252,1.193868352,0.626372457,0.531070671,NA
Adm2,0,NA,NA,NA,NA,NA
Adnp2,1.206786709,-1.093467007,0.507450062,-2.154826828,0.031175388,0.125392977
Ado,0.751914466,0.470609769,0.476736873,0.987147829,0.323570174,0.564376659
Adora1,8.761858218,0.268108098,0.164789851,1.626969721,0.103743529,0.280070386
Adora2a,0.006299941,0.579551368,2.981552282,0.194379073,0.845879075,NA
Adora2b,0.213583546,-0.534208913,1.000675744,-0.533848168,0.593446585,NA
Adpgk,3.663120408,-0.100952984,0.18394531,-0.548820644,0.583128541,0.782401444
Adprh,2.233783996,0.632656407,0.298215632,2.121472985,0.033882019,0.132748521
Adprhl1,0.100003143,0.823759509,1.453721221,0.566655764,0.570948081,NA
Adprhl2,1.932824952,-0.339848096,0.431928689,-0.786815287,0.431390003,0.662768953
Adprm,3.718721917,0.226892175,0.220980108,1.026753839,0.304536391,0.546890558
Adra1a,11.84716287,-0.443464235,0.29355117,-1.510688018,0.130867957,0.326732211
Adra1b,9.717401071,-0.31028914,0.215774469,-1.438025274,0.150426883,0.357589122
Adra1d,0.152647365,0.780218079,1.314507851,0.593543871,0.552817232,NA
Adra2a,0.269591438,0.437498639,0.670796422,0.65220777,0.514267148,NA
Adra2b,0.031686805,0.650804815,2.977166747,0.218598711,0.826962657,NA
Adra2c,0.603102935,1.441048192,0.506760797,2.84364576,0.00446006,0.032286806
Adrb1,0.345532752,-0.460823138,1.47752237,-0.311889111,0.755124799,0.8860227
Adrb2,0.62100914,0.305143523,0.349501826,0.873081339,0.382618744,0.620110718
Adrb3,0.205293378,0.101556813,0.833722167,0.121811338,0.903048434,NA
Adrbk1,0,NA,NA,NA,NA,NA
Adrbk2,0,NA,NA,NA,NA,NA
Adrm1,1.601596147,0.272712653,0.367544656,0.741985085,0.458096372,0.685660961
Adsl,2.323848517,0.566228633,0.248293062,2.280485121,0.022578932,0.100515489
Adss,15.15193681,-0.147378128,0.095158387,-1.548766571,0.121437844,0.310297841
Adssl1,1.303073527,0.391007514,0.367763113,1.063204821,0.287689077,0.529511999
Adtrp,0.286012327,-0.061566297,1.009303518,-0.060998794,0.95136017,NA
Aebp1,0.634069393,-0.292991276,0.688813437,-0.425356504,0.670576809,0.838484372
Aebp2,11.67909316,-0.074359945,0.105456137,-0.705126772,0.480731347,0.70582476
Aen,0.409710084,0.668824751,0.56155062,1.191031986,0.233641028,0.467771802
Aes,3.807317786,0.083902334,0.326904133,0.256657305,0.797443334,0.9069885
Afap1,9.307337986,-0.205538302,0.12239504,-1.67930255,0.093093094,0.2616436
Afap1l1,13.0352478,1.150423555,0.18911328,6.083251038,1.1777E-09,1.93096E-07
Afap1l2,30.05644353,-0.112212851,0.318929812,-0.351841838,0.72495688,0.868885646
Aff1,8.234824213,-0.109470315,0.155856344,-0.702379589,0.482442471,0.707322275
Aff2,62.88434193,-0.323881073,0.12503533,-2.590316461,0.009588774,0.055571231
Aff3,132.7800254,0.109400838,0.063100422,1.733757619,0.082961098,0.243312928
Aff4,42.1772897,0.017687269,0.064618198,0.273719619,0.784300099,0.900715817
Afg3l2,24.21836456,-0.025002376,0.078181996,-0.319797105,0.749122143,0.88294976
Afm,0.081143006,0.881877163,2.048158665,0.430570726,0.666780531,NA
Afmid,0,NA,NA,NA,NA,NA
Afp,0.002552335,0.679797055,2.982748215,0.227909634,0.819716493,NA
Aftph,34.15851077,-0.189076101,0.105830456,-1.786594404,0.074003067,0.226112591
Aga,1.013875559,0.088531586,0.421917436,0.209831542,0.833799154,0.92490189
Agap1,58.24620716,-0.085705777,0.088636983,-0.966930217,0.33357892,0.574421296
Agap2,18.6243492,-0.085601893,0.135210538,-0.633100752,0.526667851,0.741943982
Agap3,23.51619508,-0.134302134,0.101173218,-1.327447483,0.184360701,0.4052532
Agbl1,4.510754217,-1.057040838,0.27861458,-3.79391788,0.000148289,0.002727256
Agbl2,0.198151591,0.748101266,0.858036731,0.871875573,0.383276261,NA
Agbl3,3.043601059,-0.325182826,0.223247676,-1.456601171,0.145226504,0.34927986
Agbl4,184.1648346,-0.133944823,0.065172489,-2.055235665,0.039856248,0.149052588
Agbl5,2.619276974,0.31005011,0.253053374,1.225236026,0.220486304,0.452565513
Ager,0.005104671,0.823716851,2.981405162,0.276284774,0.78232935,NA
Agfg1,17.72260728,-0.364797173,0.131230738,-2.779814998,0.005438987,0.037195405
Agfg2,9.337955674,-0.072835129,0.138398626,-0.526270611,0.5987002,0.791143494
Aggf1,7.316347006,-0.170867122,0.142138823,-1.202114372,0.229319219,0.462211058
Agk,16.85091294,-0.042093821,0.105814012,-0.397809515,0.690770603,0.851546242
Agl,10.49587132,-0.386699757,0.134546616,-2.874095013,0.00405187,0.030047378
Agmat,0.159287887,-0.673050471,1.279763974,-0.525917658,0.59894542,NA
Agmo,3.344533373,0.078680233,0.249202458,0.315728159,0.752208851,0.884284459
Ago1,10.00300554,0.182783307,0.115361262,1.584442674,0.113093017,0.296571278
Ago2,13.86595246,0.173178182,0.107697522,1.608005255,0.107834028,0.287572592
Ago3,71.20055966,0.101464956,0.056741593,1.788193633,0.073744773,0.225612079
Ago4,11.12905156,-0.335151795,0.115520925,-2.901221533,0.00371711,0.028327146
Agpat1,1.307632115,0.232449331,0.322031957,0.721820694,0.470404725,0.696659964
Agpat2,0.081978832,0.45988037,1.55059238,0.296583664,0.766784384,NA
Agpat3,14.3864743,0.151324435,0.110208374,1.37307565,0.16972883,0.385312145
Agpat4,7.455270246,0.330239092,0.151729513,2.176498722,0.029517989,0.121037273
Agpat5,9.963737084,0.352261064,0.130964874,2.689736971,0.007150836,0.045022372
Agpat9,0,NA,NA,NA,NA,NA
Agps,14.44133646,-0.403620088,0.101513342,-3.976029941,7.00753E-05,0.001509728
Agr2,0.022240425,0.667814973,2.979875191,0.22410837,0.82267298,NA
Agr3,0.109914892,1.082368754,1.560052811,0.693802637,0.487805989,NA
Agrn,19.25961411,-0.389911569,0.112264469,-3.473152038,0.000514384,0.006817371
Agrp,7.577876239,1.186885957,0.241365138,4.917387694,8.77067E-07,4.98641E-05
Agt,0.787690017,-0.277293934,0.583233621,-0.4754423,0.634471751,0.815034231
Agtpbp1,36.10082014,-0.195137435,0.083369007,-2.34064722,0.019250347,0.089965543
Agtr1a,0.189366244,0.268832548,1.010424955,0.266058896,0.790193851,NA
Agtr1b,0.371067424,-0.299707101,1.222046038,-0.245250254,0.806262667,0.911658253
