gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Afp,0.026275065,0.487555212,2.982693762,0.163461371,0.870155185,NA
Aftph,53.67881405,-0.19529591,0.097607578,-2.000827338,0.045411,0.168170782
Aga,1.552692619,0.140679256,0.369887107,0.380330251,0.703700283,0.854392931
Agap1,99.43806709,-0.070676282,0.092014207,-0.768101838,0.442426685,0.673868098
Agap2,32.97968705,0.02018347,0.116676042,0.172987274,0.862661431,0.9397971
Agap3,35.99611359,-0.103769378,0.08951569,-1.159231162,0.246361973,0.489766966
Agbl1,7.388433154,-0.804123866,0.262716391,-3.060805846,0.002207422,0.021708761
Agbl2,0.415073998,0.575116484,0.631478579,0.910745832,0.362429309,0.605196985
Agbl3,4.976243667,-0.246003603,0.184997211,-1.329769248,0.183594311,0.408986859
Agbl4,300.8247271,-0.156049872,0.056139532,-2.77967888,0.005441268,0.040740514
Agbl5,5.064003976,0.355583769,0.215935273,1.646714612,0.099616719,0.282916839
Ager,0.008318747,0.669314447,2.980550221,0.224560701,0.82232104,NA
Agfg1,27.86836551,-0.265936139,0.131409907,-2.023714537,0.042999532,0.162132941
Agfg2,15.44384506,-0.061457448,0.134489259,-0.456969195,0.647693187,0.822887095
Aggf1,12.70855585,-0.126129138,0.126384259,-0.997981381,0.318288387,0.566522688
Agk,28.73888486,-0.084228733,0.084254835,-0.9996902,0.317460456,0.566070838
Agl,17.05663585,-0.308772304,0.122755725,-2.515339337,0.011891786,0.068425408
Agmat,0.32899331,-1.214786541,0.689706404,-1.761309644,0.078186009,NA
Agmo,5.611320339,0.18967437,0.210848122,0.899578183,0.368344772,0.610646438
Ago1,16.68607576,0.000695957,0.099014138,0.007028864,0.994391824,0.996007955
Ago2,24.82336963,0.150156079,0.093097227,1.612895297,0.106767257,0.294227581
Ago3,114.1412309,0.035517971,0.059136462,0.600610344,0.548099546,0.755474558
Ago4,19.57553659,-0.253311606,0.105234935,-2.407105641,0.016079518,0.083684781
Agpat1,2.858983388,0.269223622,0.262767137,1.024571131,0.305565592,0.553951061
Agpat2,0.176731615,0.206859191,0.930006285,0.222427734,0.823980924,NA
Agpat3,22.01684233,0.109892903,0.097720357,1.124565096,0.260773372,0.506513321
Agpat4,13.4312163,0.155962005,0.118978072,1.310846635,0.189909583,0.418123347
Agpat5,16.58633878,0.269778523,0.117349433,2.298933337,0.021508725,0.102159106
Agpat9,0,NA,NA,NA,NA,NA
Agps,23.92887326,-0.367864078,0.099088069,-3.712496182,0.000205225,0.004118705
Agr2,0.031418122,0.7436778,2.979283245,0.249616347,0.802884056,NA
Agr3,0.134863795,0.983723968,1.462226523,0.672757574,0.501101533,NA
Agrn,28.2230748,-0.357732902,0.106976463,-3.344033734,0.000825697,0.011052384
Agrp,11.96736777,1.219277744,0.197023934,6.188475275,6.07489E-10,1.38237E-07
Agt,1.850775146,-0.73432238,0.428977584,-1.711796623,0.086934155,0.258408979
Agtpbp1,55.62526596,-0.196428745,0.081837476,-2.400229774,0.016384783,0.084736829
Agtr1a,1.064048271,-0.021449306,0.441532813,-0.04857919,0.961254655,0.98138816
Agtr1b,0.481055904,-0.246584549,0.848647502,-0.290561804,0.771386476,0.89262849
Agtr2,0.311879217,0.516146405,0.771113587,0.669351978,0.503270977,NA
Agtrap,2.711154291,0.203456331,0.238532918,0.852948653,0.39368778,0.631639928
Agxt,0,NA,NA,NA,NA,NA
Agxt2,0.184971978,0.46322813,1.081988398,0.428126707,0.668558874,NA
Ahctf1,26.87489086,-0.007342866,0.083542553,-0.087893725,0.929961144,0.968946568
Ahcy,0.213930745,0.280058512,0.930468239,0.300986644,0.763424679,NA
Ahcyl1,31.77655905,-0.022042141,0.075591213,-0.291596608,0.770595069,0.892201305
Ahcyl2,106.6398572,-0.126820809,0.068554785,-1.849919152,0.064325203,0.21180634
Ahdc1,27.44193985,-0.016151273,0.090779792,-0.17791705,0.858788121,0.937311849
Ahi1,353.7073051,0.203975994,0.073390692,2.779316927,0.005447335,0.040740514
Ahnak,4.199745898,0.115447293,0.270081243,0.427453947,0.669048722,0.833338917
Ahnak2,1.0372728,-0.170331042,0.550139135,-0.30961448,0.756854144,0.885020922
Ahr,5.371101331,0.914054576,0.244787703,3.734070652,0.00018841,0.003886704
Ahrr,0.445851423,0.041415361,0.69232477,0.059820713,0.952298428,0.978408708
Ahsa1,7.56525194,0.951681142,0.20740213,4.588579407,4.46273E-06,0.000232423
Ahsa2,10.82085105,-0.375200483,0.227996798,-1.645639268,0.099838049,0.28320419
Ahsg,0,NA,NA,NA,NA,NA
Aicda,0.019103765,0.570982116,2.982748466,0.191428182,0.848190142,NA
Aida,8.216737023,-0.20415782,0.145707412,-1.40114917,0.161169471,0.38003624
Aif1,0.903041601,-0.158507173,0.531820969,-0.298046114,0.765667968,0.88991002
Aif1l,0.352296018,0.276176377,0.766653501,0.360236243,0.718670474,NA
Aifm1,20.76102491,0.052728604,0.09690505,0.544126482,0.586354438,0.78282526
Aifm2,2.415432946,-0.276959632,0.256745535,-1.078732028,0.280707204,0.528934077
Aifm3,40.18837131,-0.298424325,0.077282632,-3.861466879,0.000112708,0.002607525
Aig1,104.9230785,-0.019561284,0.053438978,-0.366048987,0.714328522,0.86066928
Aim1,0,NA,NA,NA,NA,NA
Aim1l,0,NA,NA,NA,NA,NA
Aim2,4.025730285,0.610954435,0.194238368,3.145384932,0.001658684,0.017790863
